,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
2,2112838,No,3.0,45,E2,42.84,42.84,0.0,No,No,Male,Agency,4,INFRA,Noida,27,Joined
3,2115021,No,26.0,30,E2,42.84,42.84,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,34,Joined
5,2117167,Yes,17.0,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,34,Joined
6,2119124,Yes,37.0,30,E2,31.58,31.58,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,32,Joined
13,2154264,No,3.0,0,E2,28.21,37.18,7.0,No,No,Male,Employee Referral,7,INFRA,Chennai,34,Joined
15,2158703,No,44.0,0,E2,45.45,60.0,10.0,No,No,Male,Direct,8,INFRA,Noida,34,Not Joined
16,2161257,No,7.0,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,Not Joined
19,2172982,No,1.0,0,E2,30.0,30.0,0.0,No,No,Male,Direct,6,INFRA,Noida,34,Joined
22,2175323,No,1.0,0,E3,42.78,42.78,0.0,No,Yes,Male,Employee Referral,8,INFRA,Chennai,29,Joined
23,2184108,No,0.0,30,E1,37.5,37.5,0.0,No,No,Female,Employee Referral,3,ERS,Chennai,30,Joined
24,2188014,No,1.0,0,E2,42.86,42.86,0.0,No,No,Male,Direct,5,INFRA,Noida,30,Joined
29,2207823,Yes,19.0,30,E2,42.85,42.85,0.0,No,No,Male,Direct,7,INFRA,Noida,28,Joined
30,2211699,Yes,0.0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,Not Joined
31,2214217,No,4.0,30,E2,-2.17,-2.17,0.0,No,No,Female,Employee Referral,5,ERS,Chennai,33,Joined
34,2216456,No,21.189619305179946,45,E2,75.78,50.7,-14.27,Yes,No,Male,Direct,6,INFRA,Mumbai,31,Not Joined
38,2222480,No,24.0,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,Not Joined
39,2222936,Yes,10.0,60,E3,25.0,29.17,3.33,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
40,2223040,Yes,53.0,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,AXON,Bangalore,30,Joined
43,2224426,Yes,5.0,0,E2,28.57,28.57,0.0,Yes,Yes,Male,Employee Referral,6,AXON,Bangalore,33,Joined
47,2227431,Yes,2.0,75,E3,42.85,42.85,0.0,No,Yes,Male,Employee Referral,8,INFRA,Noida,30,Joined
48,2233506,No,1.0,90,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
49,2233690,No,-1.0,90,E1,-11.11,-11.11,0.0,No,No,Male,Employee Referral,2,INFRA,Gurgaon,26,Joined
51,2237899,Yes,4.0,0,E2,42.86,42.86,0.0,No,No,Female,Employee Referral,10,INFRA,Noida,34,Joined
52,2238751,Yes,54.0,60,E3,35.0,31.0,-2.96,No,No,Male,Employee Referral,9,INFRA,Noida,34,Not Joined
53,2238809,No,33.0,75,E3,31.82,31.82,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,20,Not Joined
56,2247184,No,21.189619305179946,60,E2,41.83766269635767,42.85,-2.0789156941299427,No,No,Male,Employee Referral,6,INFRA,Noida,30,Not Joined
57,2281509,No,1.0,30,E2,42.86,42.86,0.0,Yes,No,Male,Employee Referral,4,INFRA,Gurgaon,28,Joined
63,2283257,No,2.0,0,E2,49.89,49.89,0.0,No,Yes,Male,Direct,8,INFRA,Chennai,34,Joined
66,2286317,No,1.0,60,E3,25.0,20.83,-3.33,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
68,2286467,No,0.0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,AXON,Noida,26,Joined
69,2286651,Yes,17.0,30,E2,40.0,15.0,-17.86,No,No,Female,Direct,9,CSMP,Gurgaon,37,Joined
73,2302202,Yes,7.0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,INFRA,Hyderabad,32,Joined
75,2322849,Yes,19.0,60,E2,50.0,30.5,-13.0,No,No,Male,Agency,10,ERS,Chennai,33,Not Joined
81,2341036,No,21.189619305179946,30,E2,42.85,42.85,0.0,No,No,Male,Direct,7,SALES,Bangalore,32,Not Joined
84,2344907,Yes,21.189619305179946,90,E2,40.0,30.0,-7.14,No,No,Male,Direct,6,AXON,Noida,29,Not Joined
87,2351625,Yes,0.0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,EAS,Chennai,37,Joined
100,2364616,Yes,3.0,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,INFRA,Chennai,32,Joined
101,2365129,No,4.0,30,E1,42.86,42.86,0.0,No,No,Male,Direct,2,INFRA,Cochin,24,Not Joined
102,2368400,No,0.0,30,E1,-6.25,-6.25,0.0,No,No,Male,Direct,0,ETS,Chennai,32,Joined
103,2368563,No,6.0,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,ERS,Chennai,28,Joined
104,2372371,No,21.189619305179946,45,E1,54.24,54.24,0.0,No,No,Male,Direct,3,ETS,Chennai,26,Not Joined
111,2378097,Yes,34.0,30,E1,75.0,75.0,0.0,No,No,Male,Direct,2,ERS,Chennai,25,Joined
113,2378829,No,0.0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,INFRA,Bangalore,29,Joined
114,2382818,Yes,20.0,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,EAS,Chennai,41,Not Joined
115,2383202,No,13.0,30,E1,50.0,50.0,0.0,No,No,Female,Agency,3,ERS,Hyderabad,32,Joined
116,2398717,No,2.0,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,ERS,Bangalore,33,Joined
120,2416792,Yes,8.0,60,E2,33.33,26.67,-5.0,No,No,Male,Direct,7,ERS,Chennai,29,Joined
122,2417836,Yes,42.0,45,E2,7.37,7.37,0.0,No,No,Male,Employee Referral,4,AXON,Bangalore,26,Joined
126,2437568,Yes,21.189619305179946,60,E3,67.83,39.86,-16.67,No,No,Male,Direct,10,EAS,Hyderabad,35,Not Joined
127,2437820,Yes,14.0,60,E3,31.43,20.0,-8.7,No,No,Male,Employee Referral,4,INFRA,Noida,29,Joined
130,2440753,Yes,37.0,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,ETS,Hyderabad,29,Not Joined
132,2441279,No,2.0,60,E2,32.53,19.28,-10.0,No,No,Male,Employee Referral,6,BFSI,Bangalore,31,Not Joined
133,2442101,Yes,38.0,45,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,3,INFRA,Noida,27,Joined
134,2444384,Yes,43.0,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,EAS,Chennai,25,Not Joined
136,2445042,No,3.0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,5,INFRA,Noida,27,Joined
137,2448333,No,21.189619305179946,30,E1,16.21,0.49,-13.53,No,No,Male,Agency,5,ERS,Chennai,29,Not Joined
138,2452418,Yes,32.0,30,E2,45.3,19.66,-17.65,No,Yes,Male,Agency,7,ETS,Bangalore,30,Joined
139,2452436,Yes,23.0,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,ERS,Bangalore,34,Joined
140,2456311,No,21.189619305179946,30,E1,28.57,28.57,0.0,No,No,Male,Employee Referral,4,CORP,Noida,29,Joined
144,2461027,No,42.0,60,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,30,Joined
146,2464247,No,7.0,30,E2,28.3,28.3,0.0,No,No,Male,Agency,7,INFRA,Chennai,29,Not Joined
149,2468663,No,5.0,30,E1,51.52,66.67,10.0,No,No,Male,Direct,1,ERS,Bangalore,25,Joined
151,2473555,No,12.0,30,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,INFRA,Noida,31,Joined
153,2474728,Yes,45.0,60,E2,25.0,18.75,-5.0,No,No,Male,Direct,7,BFSI,Bangalore,35,Not Joined
158,2478667,No,21.189619305179946,60,E2,21.21,16.16,-4.17,Yes,No,Male,Direct,3,CORP,Noida,25,Not Joined
159,2478695,Yes,7.0,30,E1,25.0,17.19,-6.25,No,No,Male,Employee Referral,7,ERS,Bangalore,31,Joined
